51-ZrwQODnpIX0dQEshZNw,"{u'jbKVbSz51F8IcewsiRQu4A': 2.0, u'_ODHYjCmrb3W9hIGJI1uaA': 4.0}"
ROr4DQ-gxlfUKmiDC-qSEQ,"{u'pwpl-rxwNRQdgqFz_-qMPg': 5.0, u'zp713qNhx8d9KCJJnrw1xA': 4.0, u'bzDs0u8I-z231QVdIQWkrA': 4.0, u'xs1LHeJy78u-7taSEnQ2Yw': 2.0, u'_FXql6eVhbM923RdCi94SA': 3.0, u'Zy2vca7i9QFGRKa4m0C__A': 4.0, u'0db71MbrvcJnyk71COCJBg': 4.0, u'D1T1jtCfTfXD-cQE3QViow': 4.0, u'-sC66z4SO3tR7nFCjfQwuQ': 5.0, u'oyzxIqrtzu-8sWlPhJVsLw': 4.0, u'Pfb6VOIiroqDWOebfgWGPQ': 3.0, u'I4bSn5gXsHuSPu7L-d_8nQ': 4.0, u'TfTlOE6h9E9o34dEkw9L_w': 4.0, u'-Ogv7rpcgUHkFaSy3vD8Sw': 3.0, u'7cP7WFmWiTVh-raIL3N_Vw': 4.0}"
siFbh9YuG3kEUFdaMBOZUQ,"{u'mqQwChPNN4o4DhAzaGntIA': 3.0, u'NH67MdKaFGNcP-dlu56pyw': 2.0}"
ps-qS75uNFcpwymc-Mz-NQ,{u'Tk2dSL0TwQeI_zNJmb442A': 5.0}
KsS37XB-eaB4MLH74nY3rg,{u'r-a-Cn9hxdEnYTtVTB5bMQ': 5.0}
6vmj7MMLnfYOLu1wCUpzYA,"{u'3n9mSKySEv3G03YjcU-YOQ': 4.0, u'0dORc6ckZw5HezR3BuSsqw': 5.0}"
Nqc2Xd_6gx-9OlX9tzaYmA,{u'corPOxxIBRJ7DSpryYvorw': 5.0}
4cia-I_nvMaflSiyKHTfcg,{u'RGDyf8-PyzyS9Lzs9bkvgA': 1.0}
J6mVJj6OEYZG-8TybtRm2Q,{u'-ftQeUsqwDkExRg6IYrubQ': 5.0}
umzn9DZCaZZFz051G90vTQ,"{u'pwpl-rxwNRQdgqFz_-qMPg': 5.0, u'3n9mSKySEv3G03YjcU-YOQ': 4.0, u'Pfb6VOIiroqDWOebfgWGPQ': 3.0, u'9BJ5h9X1krpXFjKj0a6wbg': 4.0}"
-dFcagBBzatMnOaYCjCv5g,{u'BESmH-lmMm34_EefL8X9fQ': 4.0}
R8xAZICRKkz91tdMgXNGPA,"{u'BM0-dgPJMBMmcmO9PVCJfQ': 5.0, u'xs1LHeJy78u-7taSEnQ2Yw': 4.0}"
Sjp6EYsqzdlTvymER6wBfg,"{u'3Zsjlum5kl5N5KV712aTMQ': 3.0, u'NDKkce5Au-o_OhIt5f2ZBg': 3.0, u'OFBJtqWGSx6n6CchtVmoRw': 2.0, u'QzXFdjIbFRGhzL83goPPLA': 4.0, u'KBG28p3lGX17hOPoHhq5PQ': 5.0, u'18TUn9oiW0k0yB6lheiOvw': 4.0}"
tdoL4Un5_hy_rJxEFLLOjw,"{u'XbVqzUHS3c9FhG4lI13c3Q': 4.0, u'Xo9Im4LmIhQrzJcO4R3ZbA': 4.0, u'XkNQVTkCEzBrq7OlRHI11Q': 4.0, u'_ODHYjCmrb3W9hIGJI1uaA': 5.0}"
xvVMzEQDQsRwB_Ko2EvNwA,{u'Xq9tkiHhyN_aBFswFeGLvA': 1.0}
J2JfCaiaZku8HgfNceU8Rg,{u'SDwYQ6eSu1htn8vHWv128g': 4.0}
1xvQJ9N8Or8m6Dl74txFNQ,"{u'0vzZ_Bcb02rJljeMU9XkBw': 2.0, u'd3MxUXS1b6U2P_gGuCO1-A': 4.0, u'wZwZcte4lcbu51NOzCjWbQ': 3.0, u'YJoph5UiUZ3BEb49vyFAuQ': 4.0, u'7SO_rX1F6rQEl-5s3wZxgQ': 5.0}"
ZXZere7_WFGPkAhAaDqsmQ,{u'XWvht_1ZLdK7EHJ3jo4q0g': 2.0}
XbR2Fx-waSWhLNPE5TK8Dg,{u'VsO_rhXi5lgbaGxNwoEZsQ': 5.0}
7aVtVu6ANtsCEfXfYoSkTg,"{u'OFBJtqWGSx6n6CchtVmoRw': 4.0, u'uKSX1n1RoAzGq4bV8GPHVg': 4.0, u'zp713qNhx8d9KCJJnrw1xA': 4.0}"
7l3GZt8gPGfRgqAHRqhu8Q,{u'E3RjJH45EX6rHYDs0TYSRA': 2.0}
YpVj9ryV6kva9jqmWMj1UA,{u'VVeogjZya58oiTxK7qUjAQ': 5.0}
un9BdrRYhX94lI0R7uk6zg,{u'3n9mSKySEv3G03YjcU-YOQ': 5.0}
MRrrOvAdihfnsaHdNBb_cw,{u'9BJ5h9X1krpXFjKj0a6wbg': 5.0}
KbA2W8E9yzN1DZcgfmq7-A,"{u'xHI3saK0sAJEHeMK4IGVvg': 5.0, u'wNsmt1hF1uv3YvbwXZMAoQ': 4.0}"
pFdYp4jwf7T8B3ZhLDn0LQ,"{u'D1T1jtCfTfXD-cQE3QViow': 4.0, u'45puCRQ6Vh_IIAy7kkfFDQ': 3.0}"
R0zu-s2gMM-dGMf86f-yIg,{u'jzPMl-NoB5F2fwoHX3hN8A': 3.0}
dkycTA5ejQSeBsiXbxZZbg,"{u'cN6aBxe2mQvrQlzk26LyRQ': 4.0, u'CFaRVxsnN4Zjf28cbORKIA': 4.0}"
7RBSJeEQRCnlzaIIo8FVXg,"{u'd3MxUXS1b6U2P_gGuCO1-A': 5.0, u'ntN85eu27C04nwyPa8IHtw': 4.0}"
GqL4z_IDjJQk8LjZ9kJbXw,"{u'7SO_rX1F6rQEl-5s3wZxgQ': 5.0, u'kr3EFhoSwbJPrL_e_RD39g': 5.0}"
xsA8E7corTpAcTWhZiSVwg,{u'3Zsjlum5kl5N5KV712aTMQ': 4.0}
ikyqQdOJk0HcU23zKHBVQA,{u'KBKDl08flVw1AqvM5ucVpA': 3.0}
