	user_id	business_id	business_name	business_avg	business_review_count	city	categories	stars	review_id	user_name	user_review_count	user_avg
0	Ry48Bta6spNowOkiMNC_xg	HQFscafV3wi5z4yOKdUGRg	5th Avenue Cafe	3.09523809524	21	Phoenix	[Breakfast & Brunch, Diners, Restaurants]	4	kYkOfBueK5mKXBB2WOjY1A	Chris	15	3.8
1	Ry48Bta6spNowOkiMNC_xg	-sC66z4SO3tR7nFCjfQwuQ	Gallo Blanco Cafe	4.15441176471	136	Phoenix	[Mexican, Restaurants]	4	PDqJj0wOLaCNySc011DH5w	Chris	15	3.8
2	Ry48Bta6spNowOkiMNC_xg	1NZLxU5WvB5roPFzneAlLw	Barrio Café	3.86206896552	87	Phoenix	[Mexican, Restaurants]	4	tAEQaZF9R_RW87pSmd0GKQ	Chris	15	3.8
3	Ry48Bta6spNowOkiMNC_xg	4waggbCK-MSE9dbIdSMfPA	Compass Arizona Grill	3.42857142857	21	Phoenix	[American (New), Restaurants]	4	QTzQbnUOj4mIfR0Aug7qYQ	Chris	15	3.8
4	Ry48Bta6spNowOkiMNC_xg	D1T1jtCfTfXD-cQE3QViow	Joe's Diner	4.0	37	Phoenix	[Breakfast & Brunch, Diners, Restaurants]	4	demUPiNt7kYSsWruU04uoA	Chris	15	3.8
5	Ry48Bta6spNowOkiMNC_xg	zp713qNhx8d9KCJJnrw1xA	La Condesa Gourmet Taco Shop	4.07058823529	85	Phoenix	[Mexican, Restaurants]	4	9PZyXLvrpEPXrTDkpTvWdQ	Chris	15	3.8
6	Ry48Bta6spNowOkiMNC_xg	DeAnVirgOxQnI36V1W158A	Juan's Authentic Mexican Food	3.63636363636	22	Phoenix	[Mexican, Restaurants]	4	ggLt4FwoT1zcjJrSMn4PBA	Chris	15	3.8
7	Ry48Bta6spNowOkiMNC_xg	LRuIY8JFqadCSYLo242MGg	The Hero Factory	4.31578947368	19	Phoenix	[Delis, Sandwiches, Restaurants]	4	Pu5z4jCoZLyu5qy2WM_bKg	Chris	15	3.8
8	Ry48Bta6spNowOkiMNC_xg	oJpmYvLibGrYPDvcaUeMOw	Thai Hut	3.75	44	Phoenix	[Thai, Restaurants]	3	PJQuhbBE3Grz3Eh9Eyu-Ag	Chris	15	3.8
9	Ry48Bta6spNowOkiMNC_xg	mqQwChPNN4o4DhAzaGntIA	The Fry Bread House	4.02272727273	44	Phoenix	[American (Traditional), Restaurants]	4	5aOS-CuHJcqnjsatwNlU_g	Chris	15	3.8
10	Ry48Bta6spNowOkiMNC_xg	vz2zQQSjy-NnnKLZzjjoxA	Sylvia's La Canasta Mexican Restaurant	3.24137931034	29	Phoenix	[Mexican, Restaurants]	3	K_NyY4WNG-wESNmmrrBEig	Chris	15	3.8
